Datum;Beginn;Ende;Ort;ID;Format;Titel_Session;Chair;Titel_Beitrag;Autorin/Autor_1;Affilation_1;Land_1;Autorin/Autor_2;Affilation_2;Land_2;Autorin/Autor_3;Affilation_3;Land_3;Autorin/Autor_4;Affilation_4;Land_4;Autorin/Autor_5;Affilation_5;Land_5;Autorin/Autor_6;Affilation_6;Land_6;Autorin/Autor_7;Affilation_7;Land_7;Autorin/Autor_8;Affilation_8;Land_8;Autorin/Autor_9;Affilation_9;Land_9;Autorin/Autor_10;Affilation_10;Land_10;Zusammenfassung
25.03.2019;11:00;12:30;P15;Workshop_235;Workshop;;;Workshop Fortsetzung: Text Mining mit Open Semantic (Desktop) Search;Jörg Wettlaufer;Georg-August-Universität Göttingen;Deutschland;Stefan Ziehe;Georg-August-Universität Göttingen;Deutschland;Markus Mandalka;Berlin;Deutschland;;;;;;;;;;;;;;;;;;;;;;In den Geisteswissenschaften sind wir bei vielen Fragestellungen auf die Sammlung und das Zusammenstellen von (teilweise sehr großen) Informationsmengen angewiesen, aus denen relevante Details herausgefiltert und anschließend in neue Zusammenhänge gesetzt werden müssen. Dieser informationsgetriebene Ansatz geisteswissenschaftlichen Arbeitens ist nicht weit von den Aufgaben entfernt, die Journalisten heute für ihre Arbeit im digitalen Zeitalter lösen müssen. In diesem Kontext wurde „Open Semantic Desktop Search“ (OSDS) von Markus Mandalka (Berlin) entwickelt, ein Recherche Tool bzw. eine Enterprise Suchmaschine für die semantische und explorative Suche in großen Dokumentenmengen, das auch Textanalyse und Text Mining mit offenen Standards für Linked Open Data bietet: http://www.opensemanticsearch.org. Ziel des Workshops ist es die TeilnehmerInnen in die Lage zu versetzen, OSDS eigenständig für die Beantwortung wissenschaftlicher Fragestellungen, z.B. aus dem Bereich der digitalen Geschichtswissenschaften, zu verwenden und für ihre jeweiligen Bedürfnisse zu konfigurieren bzw. zu erweitern.
25.03.2019;11:00;12:30;Akademie der Wissenschaften und der Literatur | Mainz;Workshop_266;Workshop;;;Workshop Fortsetzung: Graphentechnologien in den Digital Humanities;Julian Jarosch;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Andreas Kuczera;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Torsten Schrade;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Tariq Yousef;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;;;;;;;;;;;;;;;;;;;Graphtechnologien bieten insbesondere in den DH neue Perspektiven zur Aufbereitung und Analyse von heterogenen Daten. Viele bestehende XML-Forschungsdaten enthalten bereits implizit semantische Aussagen, die als Graph gelesen, mit weiteren Datenbeständen synthetisiert, und zusammen analysiert werden können. Inzwischen existieren Werkzeuge, die verschiedene Zugriffe auf dieses Potential zugänglich machen – von der deskriptiven Extraktion von RDF aus XML bis zur verlustlosen Migration von Datenbeständen zu text-as-a-graph. Dieser Workshop bietet eine praktische Einführung in vier Werkzeuge, die X-Technologien und Graphtechnologien einander näher bringen.
25.03.2019;14:00;15:30;P6;Workshop_142;Workshop;;;Workshop Texte digital annotieren und analysieren mit CATMA 6.0;Jan Horstmann;Universität Hamburg;Deutschland;Jan Christoph Meister;Universität Hamburg;Deutschland;Marco Petris;Universität Hamburg;Deutschland;Mareike Schumacher;Universität Hamburg;Deutschland;;;;;;;;;;;;;;;;;;;In diesem hands-on Workshop werden wir die Möglichkeiten der für Geisteswissenschaftler*innen entwickelten Annotations- und Analyseplattform CATMA 6.0 praktisch erkunden. Es werden keinerlei technische Vorkenntnisse vorausgesetzt. Inhaltlich werden wir uns vor allem den theoretischen und praktischen Aspekten der digitalen Annotation von (literarischen) Texten, als auch der Analyse und Visualisierung dieser Texte und der erstellten Annotationen widmen.CATMA (Computer Assisted Text Markup and Analysis
25.03.2019;14:00;15:30;P7;Workshop_205;Workshop;;;Workshop Kollaboratives Arbeiten im Web mit Git-Hub;Stephan Druskat;Humboldt-Universität zu Berlin;Deutschland;Annika Rockenberger;Nasjonalbiblioteket;Norwegen;;;;;;;;;;;;;;;;;;;;;;;;;"In zwei jeweils halbtägigen Workshops erlernen Teilnehmende ohne oder mit wenigen Vorkenntnissen grundlegende Kulturtechniken der digitalen Forschung: Versionskontrolle und kollaboratives verteiltes Arbeiten. Der Teilworkshop ""Versionskontrolle mit Git"" führt auf Grundlage der Software Carpentry (https://software-carpentry.org/) in die Arbeit mit dem Versionskontrollsystem Git (https://git-scm.com/) ein. Dabei unterstützen geleitete Übungen und häufige formative Evaluationen die aktive Aneignung zentraler Konzepte und Prozesse wie Ã„nderungsverfolgung und -historie, Konflikte und deren Auflösung. Der Workshop befähigt Teilnehmende zur Arbeit mit Git auf der Kommandozeile. Der zweite Teilworkshop führt in die Arbeit mit GitHub (https://github.com/) ein und vermittelt die Grundlagen der verteilten Zusammenarbeit an Dokumenten über Methoden wie Issues und Pull Requests. Dabei wird ausschließlich auf die Weboberfläche der Codeplattform zurückgegriffen, so dass keine weiteren Vorkenntnisse notwendig sind. Die Teilworkshops erlauben in Kombination einen fundierten Einstieg in Versionskontrolle und vermitteln die konkrete Arbeit mit den derzeit am weitesten verbreiteten Instrumenten dafür, Git und GitHub, können aber auch einzeln besucht werden."
25.03.2019;14:00;15:30;P10;Workshop_210;Workshop;;;Workshop Fortsetzung: eXist-db und VueJS für dynamische UI-Komponenten;Oliver Pohl;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Teodora Dogaru;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Jonas Müller-Laackman;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;In dem Workshop sollen Teilnehmende lernen, wie man mit der XML-Datenbank eXist-db Daten nach JSON serialisiert und anhand der ausgelieferten JSON-Daten mit Hilfe von vue.js reaktive HTML-Komponenten erstellt. Als praktisches Beispiel für den Workshop werden die Daten und der Quellcode von quoteSalute zur Veranschaulichung benutzt. quoteSalute aggregiert Grußformeln aus verschiedenen digitalen Briefeditionen, bereitet diese auf, sodass NutzerInnen Briefabschlüsse von z.B. Alexander von Humboldt, Friedrich Schleiermacher oder Anna Gräfin von Lehndorff über einen Klick in ihre eigene E-Mail-Korrespondenz einfügen können. Die Daten dafür werden in einer eXist-db-Instanz als TEI-XML vorgehalten und die Benutzeroberfläche über Vue.js realisiert. Nach dem Workshop sollen die Teilnehmenden in der Lage sein einfache, reaktive Vue.js-Applikation zu programmieren und dessen Aufbau erklären zu können, diese Vue.js-Applikation an eine JSON-REST-Schnittstelle anzubinden, und das grundlegende Prinzip im Zusammenspiel von Backend - JSON-API - JavaScript-Frontend auch auf andere Technologien und Frameworks übertragen zu können.
25.03.2019;14:00;15:30;P11;Workshop_241;Workshop;;;Workshop Distant Letters: Methoden und Praktiken zur quantitativen Analyse digitaler Briefeditionen;Stefan Dumont;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Susanne Haaf;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Ulrike Henny-Kramer;Julius-Maximilians-Universität Würzburg;Deutschland;Benjamin Krautter;Universität Stuttgart;Deutschland;Frederike Neuber;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;Briefeditionen sind ein Typus der digitalen Edition, in dem die Vorteile des digitalen Mediums bereits mit am intensivsten fruchtbar gemacht werden. In der alltäglichen Arbeit des Edierens sowie der Software-Entwicklung richtet sich der Blick zum großen Teil meist auf den einzelnen Brief und seine Tiefenerschließung, weniger auf die Menge an Briefen eines Korrespondenzkorpus. Weiterführende quantitative Analysen auf Basis der Tiefenerschließung (vollständige Transkription, Modellierung in XML/TEI, Normdaten etc.) und mit digitalen Methoden, die gerade auch für korpusübergreifende Untersuchungen den Weg ebnen würden, sind traditionellerweise in Editionsprojekten (noch) nicht vorgesehen. Mit dem eintägigen Workshop “Distant Letters” möchten wir ein Panorama an quantitativ orientierten Analysemethoden und -praktiken für Daten digitaler Briefeditionen vorstellen, vermitteln und diskutieren, um so neue Perspektiven auf Briefkorpora zu erproben. Der Workshop gliedert sich in vier Abschnitte und behandelt darin die Auswertung von Metadaten und Entitäten, die Analyse linguistischer Merkmale, Topic Modeling und Stilometrie mit Daten digitaler Briefeditionen.
25.03.2019;14:00;15:30;P12;Workshop_265;Workshop;;;Workshop Vom gedruckten Werk zu elektronischem Volltext als Forschungsgrundlage;Elisa Herrmann;Herzog August Bibliothek Wolfenbüttel;Deutschland;Volker Hartmann;Steinbuch Centre for Computing / Karlsruher Institut für Technologie;Deutschland;Matthias Boenig;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;Die „Koordinierte Förderinitiative zur Weiterentwicklung von Verfahren der Optical Character Recognition“ (kurz OCR-D), arbeitet seit 2015 an der Optimierung der automatischen Texterkennung insbesondere für historische Drucke. Nach einer Bedarfsanalyse werden seit Anfang 2018 in acht Modulprojekten Softwarelösungen entwickelt, die ab Sommer 2019 Open Source zur Verfügung stehen. Kultureinrichtungen wie Bibliotheken lassen seit mehreren Jahren ihre Bestände digitalisieren und zum Teil auch per OCR prozessieren. Der Workshop dient zum einen dazu den OCR-D-Workflow samt der dazu entwickelten Software vorzustellen, zum anderen ergibt sich die Möglichkeit mit der Community zu diskutieren, wie die OCR-D-Lösungen in zukünftige Forschungsprozesse eingebracht werden können.
25.03.2019;14:00;15:30;P15;Workshop_185;Workshop;;;Workshop DHd 2019 Book of Abstracts Hackathon;Peter Andorfer;Österreichische Akademie der Wissenschaften;Österreich;Fabian Cremer;Max Weber Stiftung;Deutschland;Timo Steyer;Forschungsverbund Marbach Weimar Wolfenbüttel/ Herzog August Bibliothek Wolfenbüttel;Deutschland;;;;;;;;;;;;;;;;;;;;;;Im Workshop werden zeitgemäße und alternative Publikationsformen und Formate der Konferenz-Abstracts der DHd 2019 gemeinsam mit den Teilnehmer*innen erarbeitet. Im Format eines Hackathons entwickeln kleine Teams Lösungen für unterschiedliche Prozesse und Repräsentationsformen der im Vorfeld des Workshops aufbereiteten XML/TEI-P5-basierten Abstracts. Die vom Teilnehmerkreis zu adaptierenden und zu ergänzenden Themen der AGs umfassen Texttransformation, Präsentationsschichten, maschinenlesbare Schnittstellen, Visualisierungen, multimediale Inhalte, Text- und Netzwerkanalyse. Der Hackathon soll sowohl konkrete und nachnutzbare Ergebnisse liefern, in Form implementierter Publikationen und dokumentierter Datentransformation, als auch einen Diskussionsimpuls zur Zukunft des Digitalen Publizierens in den Digital Humanities zu geben. Ziel ist es auch, die Konferenzabstracts als Publikationsformat aufzuwerten und ihr Potential als Gegenstand von Publikations- und Forschungsprozessen herauszustellen.
25.03.2019;14:00;15:30;Musiksaal;Workshop_165;Workshop;;;Workshop Usability-Testing für Softwarewerkzeuge in den Digital Humanities am Beispiel von Bildrepositorien;Leyla Dewitz;Technische Universität Dresden;Deutschland;Sander Münster;Technische Universität Dresden;Deutschland;Florian Niebling;Julius-Maximilians-Universität Würzburg;Deutschland;Cindy Kröber;Technische Universität Dresden;Deutschland;;;;;;;;;;;;;;;;;;;Methoden der nutzerzentrierten Evaluierung interaktiver Softwarewerkzeuge können die Umsetzung digitaler Arbeitstechniken in den Geisteswissenschaften wesentlich unterstützen. In diesem Workshop lernen Teilnehmende grundlegende Theorien und Methoden der User Experience und Usability kennen und anwenden. Als Beispiel eines zu testenden Bildrepositorums dient dabei die 3D-Webanwendung der Nachwuchsforschungsgruppe HistStadt4D. Diese soll durch die Workshop-Teilnehmer durch das Einnehmen spezifischer Nutzerperspektiven auf Aspekte der Usability hin geprüft werden. Hierfür bietet sich die Methode des Paper-Prototyping in Kombination mit der Verwendung von Personas an. Ziel ist die Orientierung der Usability an Anforderungen der Nutzer, insbesondere eine Optimierung von Funktionalitäten der Webanwendung und der Durchsuch- und Auffindbarkeit von Bildmaterialien. Zuvor vermittelte Kenntnisse können so in einen Anwendungskontext gebracht und diskutiert werden. Der Workshop soll zur Sensibilisierung der DH-Community sowie der von Entwicklern der Bildrepositorien beitragen, indem praxistaugliche und allgemein verwendbare Methoden der User Experience und Usability-Methoden vermittelt und erste Fähigkeiten erlernt werden. 
25.03.2019;14:00;15:30;02-521;Workshop_132;Workshop;;;Workshop Qualitätsstandards und Interdisziplinarität in der Kuration audiovisueller (Sprach-)Daten;Thomas Schmidt;Institut für Deutsche Sprache;Deutschland;Jonathan Blumtritt;Data Center for the Humanities Universität zu Köln;Deutschland;Hanna Hedeland;Hamburger Zentrum für Sprachkorpora Universität Hamburg;Deutschland;Jan Gorisch;Institut für Deutsche Sprache;Deutschland;Felix Rau;Data Center for the Humanities Universität zu Köln;Deutschland;Kai Wörner;Hamburger Zentrum für Sprachkorpora Universität Hamburg;Deutschland;;;;;;;;;;;;;Der Workshop setzt eine Reihe fort, die mit dem Workshop “Nachhaltigkeit von Workflows zur Datenkuratierung” auf der FORGE 2016 begonnen und bei der DHd-Tagung 2018 mit dem Workshop “Nutzerunterstützung und neueste Entwicklungen in Forschungsdatenrepositorien für audiovisuelle (Sprach-)Daten” weitergeführt wurde. Er richtet sich an Personen, die in Archiven und Datenzentren mit dem Forschungsdatenmanagement audiovisueller Sprachdaten zu tun haben, sowie an Forschende, Lehrende und Studierende, die in ihrer akademischen Tätigkeit mit solchen Daten arbeiten.Der Fokus des Workshops liegt auf Qualitätsstandards für audiovisuelle Sprachdaten vor dem Hintergrund, dass bei deren Nachnutzung interdisziplinäre Perspektiven eine zunehmend wichtige Rolle spielen. Archive und Datenzentren müssen sich der Herausforderung stellen, ihre Qualitätsstandards für die Kurationsarbeit vor diesem Hintergrund neu zu bewerten und weiter zu entwickeln. Der Wert einer gegebenen Ressource mag unter Berücksichtigung ihres Potentials zur interdisziplinären Nachnutzung anders beurteilt werden, und es kann notwendig werden, technische Standards der Datenrepräsentation oder Instrumente zur Dissemination an dieses Potential anzupassen.
25.03.2019;14:00;15:30;Akademie der Wissenschaften und der Literatur | Mainz;Workshop_194;Workshop;;;Workshop Open Graph Space: Einsatz und Potenzial von Graphentechnologien in den digitalen Geisteswissenschaften;Franziska Diehr;Stiftung Preußischer Kulturbesitz;Deutschland;Maximilian Brodhun;Niedersächsische Staats- und Universitätsbibliothek Göttingen;Deutschland;Andreas Kuczera;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Thomas Kollatz;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Thorsten Wübbena;Kunstgeschichtliches Institut, Goethe Universität Frankfurt am Main / Deutsches Forum für Kunstgeschichte Paris;Deutschland / Frankreich;Thomas Efer;Sächsische Akademie der Wissenschaften zu Leipzig / Universität Leipzig;Deutschland;;;;;;;;;;;;;Die AG Graphentechnologie des DHd Verbands lädt zum offenen Austausch von Erfahrungen, Fragestellungen und Ideen rund um das Thema Graphentechnologien in den digitalen Geisteswissenschaften zu einem „Open Graph Space“ ein. Als offenes Format mit selbstorganisierendem Charakter wird Interessierten und ExpertInnen die Gelegenheit zum aktiven Austausch gegeben in dem sie selbst Themen vorschlagen. Ob praxisorientiertes Problem oder theoretische Fragestellung – der Raum ist für alle Impulse offen. Gleichzeitig gewinnen Interessierte einen Einblick in die breiten Anwendungsmöglichkeiten von graph-basierten Technologien in den Digital Humanities. In Kleingruppen werden gemeinsam Ideen für neue Anwendungsbereiche entwickelt aber auch bestehende Probleme vielschichtig betrachtet und analysiert. Die kreativen Methoden des „Open Graph Space“ ermöglichen die Entdeckung neuer Einsatzmöglichkeiten: Bestehende Horizonte werden erweitert und es können neue Areale für graph-basierte Technologien exploriert werden. Die kreativen Impulse aller Beteiligten sollen in einer frei zugänglichen Publikation gebündelt werden und als Anregung zum weiteren fachlichen Austausch dienen.
25.03.2019;16:00;17:30;P6;Workshop_142;Workshop;;;Workshop Fortsetzung: Texte digital annotieren und analysieren mit CATMA 6.0;Jan Horstmann;Universität Hamburg;Deutschland;Jan Christoph Meister;Universität Hamburg;Deutschland;Marco Petris;Universität Hamburg;Deutschland;Mareike Schumacher;Universität Hamburg;Deutschland;;;;;;;;;;;;;;;;;;;In diesem hands-on Workshop werden wir die Möglichkeiten der für Geisteswissenschaftler*innen entwickelten Annotations- und Analyseplattform CATMA 6.0 praktisch erkunden. Es werden keinerlei technische Vorkenntnisse vorausgesetzt. Inhaltlich werden wir uns vor allem den theoretischen und praktischen Aspekten der digitalen Annotation von (literarischen) Texten, als auch der Analyse und Visualisierung dieser Texte und der erstellten Annotationen widmen.CATMA (Computer Assisted Text Markup and Analysis
25.03.2019;16:00;17:30;P7;Workshop_205;Workshop;;;Workshop Fortsetzung: Kollaboratives Arbeiten im Web mit Git-Hub;Stephan Druskat;Humboldt-Universität zu Berlin;Deutschland;Annika Rockenberger;Nasjonalbiblioteket;Norwegen;;;;;;;;;;;;;;;;;;;;;;;;;"In zwei jeweils halbtägigen Workshops erlernen Teilnehmende ohne oder mit wenigen Vorkenntnissen grundlegende Kulturtechniken der digitalen Forschung: Versionskontrolle und kollaboratives verteiltes Arbeiten. Der Teilworkshop ""Versionskontrolle mit Git"" führt auf Grundlage der Software Carpentry (https://software-carpentry.org/) in die Arbeit mit dem Versionskontrollsystem Git (https://git-scm.com/) ein. Dabei unterstützen geleitete Übungen und häufige formative Evaluationen die aktive Aneignung zentraler Konzepte und Prozesse wie Ã„nderungsverfolgung und -historie, Konflikte und deren Auflösung. Der Workshop befähigt Teilnehmende zur Arbeit mit Git auf der Kommandozeile. Der zweite Teilworkshop führt in die Arbeit mit GitHub (https://github.com/) ein und vermittelt die Grundlagen der verteilten Zusammenarbeit an Dokumenten über Methoden wie Issues und Pull Requests. Dabei wird ausschließlich auf die Weboberfläche der Codeplattform zurückgegriffen, so dass keine weiteren Vorkenntnisse notwendig sind. Die Teilworkshops erlauben in Kombination einen fundierten Einstieg in Versionskontrolle und vermitteln die konkrete Arbeit mit den derzeit am weitesten verbreiteten Instrumenten dafür, Git und GitHub, können aber auch einzeln besucht werden."
25.03.2019;16:00;17:30;P10;Workshop_210;Workshop;;;Workshop Fortsetzung: eXist-db und VueJS für dynamische UI-Komponenten;Oliver Pohl;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Teodora Dogaru;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Jonas Müller-Laackman;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;In dem Workshop sollen Teilnehmende lernen, wie man mit der XML-Datenbank eXist-db Daten nach JSON serialisiert und anhand der ausgelieferten JSON-Daten mit Hilfe von vue.js reaktive HTML-Komponenten erstellt. Als praktisches Beispiel für den Workshop werden die Daten und der Quellcode von quoteSalute zur Veranschaulichung benutzt. quoteSalute aggregiert Grußformeln aus verschiedenen digitalen Briefeditionen, bereitet diese auf, sodass NutzerInnen Briefabschlüsse von z.B. Alexander von Humboldt, Friedrich Schleiermacher oder Anna Gräfin von Lehndorff über einen Klick in ihre eigene E-Mail-Korrespondenz einfügen können. Die Daten dafür werden in einer eXist-db-Instanz als TEI-XML vorgehalten und die Benutzeroberfläche über Vue.js realisiert. Nach dem Workshop sollen die Teilnehmenden in der Lage sein einfache, reaktive Vue.js-Applikation zu programmieren und dessen Aufbau erklären zu können, diese Vue.js-Applikation an eine JSON-REST-Schnittstelle anzubinden, und das grundlegende Prinzip im Zusammenspiel von Backend - JSON-API - JavaScript-Frontend auch auf andere Technologien und Frameworks übertragen zu können.
25.03.2019;16:00;17:30;P11;Workshop_241;Workshop;;;Workshop Fortsetzung: Distant Letters;Stefan Dumont;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Susanne Haaf;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Ulrike Henny-Kramer;Julius-Maximilians-Universität Würzburg;Deutschland;Benjamin Krautter;Universität Stuttgart;Deutschland;Frederike Neuber;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;Briefeditionen sind ein Typus der digitalen Edition, in dem die Vorteile des digitalen Mediums bereits mit am intensivsten fruchtbar gemacht werden. In der alltäglichen Arbeit des Edierens sowie der Software-Entwicklung richtet sich der Blick zum großen Teil meist auf den einzelnen Brief und seine Tiefenerschließung, weniger auf die Menge an Briefen eines Korrespondenzkorpus. Weiterführende quantitative Analysen auf Basis der Tiefenerschließung (vollständige Transkription, Modellierung in XML/TEI, Normdaten etc.) und mit digitalen Methoden, die gerade auch für korpusübergreifende Untersuchungen den Weg ebnen würden, sind traditionellerweise in Editionsprojekten (noch) nicht vorgesehen. Mit dem eintägigen Workshop “Distant Letters” möchten wir ein Panorama an quantitativ orientierten Analysemethoden und -praktiken für Daten digitaler Briefeditionen vorstellen, vermitteln und diskutieren, um so neue Perspektiven auf Briefkorpora zu erproben. Der Workshop gliedert sich in vier Abschnitte und behandelt darin die Auswertung von Metadaten und Entitäten, die Analyse linguistischer Merkmale, Topic Modeling und Stilometrie mit Daten digitaler Briefeditionen.
25.03.2019;16:00;17:30;P12;Workshop_265;Workshop;;;Workshop Fortsetzung: Vom gedruckten Werk zu elektronischem Volltext als Forschungsgrundlage;Elisa Herrmann;Herzog August Bibliothek Wolfenbüttel;Deutschland;Volker Hartmann;Steinbuch Centre for Computing / Karlsruher Institut für Technologie;Deutschland;Matthias Boenig;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;Die „Koordinierte Förderinitiative zur Weiterentwicklung von Verfahren der Optical Character Recognition“ (kurz OCR-D), arbeitet seit 2015 an der Optimierung der automatischen Texterkennung insbesondere für historische Drucke. Nach einer Bedarfsanalyse werden seit Anfang 2018 in acht Modulprojekten Softwarelösungen entwickelt, die ab Sommer 2019 Open Source zur Verfügung stehen. Kultureinrichtungen wie Bibliotheken lassen seit mehreren Jahren ihre Bestände digitalisieren und zum Teil auch per OCR prozessieren. Der Workshop dient zum einen dazu den OCR-D-Workflow samt der dazu entwickelten Software vorzustellen, zum anderen ergibt sich die Möglichkeit mit der Community zu diskutieren, wie die OCR-D-Lösungen in zukünftige Forschungsprozesse eingebracht werden können.
25.03.2019;16:00;17:30;P15;Workshop_185;Workshop;;;Workshop Fortsetzung: DHd 2019 Book of Abstracts Hackathon;Peter Andorfer;Österreichische Akademie der Wissenschaften;Österreich;Fabian Cremer;Max Weber Stiftung;Deutschland;Timo Steyer;Forschungsverbund Marbach Weimar Wolfenbüttel/ Herzog August Bibliothek Wolfenbüttel;Deutschland;;;;;;;;;;;;;;;;;;;;;;Im Workshop werden zeitgemäße und alternative Publikationsformen und Formate der Konferenz-Abstracts der DHd 2019 gemeinsam mit den Teilnehmer*innen erarbeitet. Im Format eines Hackathons entwickeln kleine Teams Lösungen für unterschiedliche Prozesse und Repräsentationsformen der im Vorfeld des Workshops aufbereiteten XML/TEI-P5-basierten Abstracts. Die vom Teilnehmerkreis zu adaptierenden und zu ergänzenden Themen der AGs umfassen Texttransformation, Präsentationsschichten, maschinenlesbare Schnittstellen, Visualisierungen, multimediale Inhalte, Text- und Netzwerkanalyse. Der Hackathon soll sowohl konkrete und nachnutzbare Ergebnisse liefern, in Form implementierter Publikationen und dokumentierter Datentransformation, als auch einen Diskussionsimpuls zur Zukunft des Digitalen Publizierens in den Digital Humanities zu geben. Ziel ist es auch, die Konferenzabstracts als Publikationsformat aufzuwerten und ihr Potential als Gegenstand von Publikations- und Forschungsprozessen herauszustellen.
25.03.2019;16:00;17:30;Musiksaal;Workshop_165;Workshop;;;Workshop Fortsetzung: Usability-Testing für Softwarewerkzeuge;Leyla Dewitz;Technische Universität Dresden;Deutschland;Sander Münster;Technische Universität Dresden;Deutschland;Florian Niebling;Julius-Maximilians-Universität Würzburg;Deutschland;Cindy Kröber;Technische Universität Dresden;Deutschland;;;;;;;;;;;;;;;;;;;Methoden der nutzerzentrierten Evaluierung interaktiver Softwarewerkzeuge können die Umsetzung digitaler Arbeitstechniken in den Geisteswissenschaften wesentlich unterstützen. In diesem Workshop lernen Teilnehmende grundlegende Theorien und Methoden der User Experience und Usability kennen und anwenden. Als Beispiel eines zu testenden Bildrepositorums dient dabei die 3D-Webanwendung der Nachwuchsforschungsgruppe HistStadt4D. Diese soll durch die Workshop-Teilnehmer durch das Einnehmen spezifischer Nutzerperspektiven auf Aspekte der Usability hin geprüft werden. Hierfür bietet sich die Methode des Paper-Prototyping in Kombination mit der Verwendung von Personas an. Ziel ist die Orientierung der Usability an Anforderungen der Nutzer, insbesondere eine Optimierung von Funktionalitäten der Webanwendung und der Durchsuch- und Auffindbarkeit von Bildmaterialien. Zuvor vermittelte Kenntnisse können so in einen Anwendungskontext gebracht und diskutiert werden. Der Workshop soll zur Sensibilisierung der DH-Community sowie der von Entwicklern der Bildrepositorien beitragen, indem praxistaugliche und allgemein verwendbare Methoden der User Experience und Usability-Methoden vermittelt und erste Fähigkeiten erlernt werden. 
25.03.2019;16:00;17:30;02-521;Workshop_132;Workshop;;;Workshop Fortsetzung: Qualitätsstandards und Interdisziplinarität in der Kuration audiovisueller (Sprach-)Daten;Thomas Schmidt;Institut für Deutsche Sprache;Deutschland;Jonathan Blumtritt;Data Center for the Humanities Universität zu Köln;Deutschland;Hanna Hedeland;Hamburger Zentrum für Sprachkorpora Universität Hamburg;Deutschland;Jan Gorisch;Institut für Deutsche Sprache;Deutschland;Felix Rau;Data Center for the Humanities Universität zu Köln;Deutschland;Kai Wörner;Hamburger Zentrum für Sprachkorpora Universität Hamburg;Deutschland;;;;;;;;;;;;;Der Workshop setzt eine Reihe fort, die mit dem Workshop “Nachhaltigkeit von Workflows zur Datenkuratierung” auf der FORGE 2016 begonnen und bei der DHd-Tagung 2018 mit dem Workshop “Nutzerunterstützung und neueste Entwicklungen in Forschungsdatenrepositorien für audiovisuelle (Sprach-)Daten” weitergeführt wurde. Er richtet sich an Personen, die in Archiven und Datenzentren mit dem Forschungsdatenmanagement audiovisueller Sprachdaten zu tun haben, sowie an Forschende, Lehrende und Studierende, die in ihrer akademischen Tätigkeit mit solchen Daten arbeiten.Der Fokus des Workshops liegt auf Qualitätsstandards für audiovisuelle Sprachdaten vor dem Hintergrund, dass bei deren Nachnutzung interdisziplinäre Perspektiven eine zunehmend wichtige Rolle spielen. Archive und Datenzentren müssen sich der Herausforderung stellen, ihre Qualitätsstandards für die Kurationsarbeit vor diesem Hintergrund neu zu bewerten und weiter zu entwickeln. Der Wert einer gegebenen Ressource mag unter Berücksichtigung ihres Potentials zur interdisziplinären Nachnutzung anders beurteilt werden, und es kann notwendig werden, technische Standards der Datenrepräsentation oder Instrumente zur Dissemination an dieses Potential anzupassen.
